CODE,LOCATION,TYPE,RATING (MAX = 5),Address,Description,Long Description,Tags_Creation_Description,Ticket Info,image_path,open_time,close_time,coordinate,tags
,Luxury Riverside Apartment Landmark 81 & Vinhomes,,4.5,"720A Dien Bien Phu, Vinhomes Tan Cang","Luxury Riverside Apartment Landmark 81 & Vinhomes located at 720A Dien Bien Phu, Vinhomes Tan Cang",Luxury Riverside Apartment Landmark 81 & Vinhomes is a 3-star hotel in Ho Chi Minh City. Rated 9.0/10 by 124 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is '1-Bedroom Condo' with 1 king bed and 1 sofa bed. Great stay!|Great service,Great stay!|Great service,~₫1025000/night (approx. $41),https://ak-d.tripcdn.com/images/1mc5e12000jn6m3j212A9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795112, 106.722096",Great stay!|Great service
,Paradise Saigon Boutique Hotel & Spa,,4.3,288 Đ. Lê Thánh Tôn,Paradise Saigon Boutique Hotel & Spa located at 288 Đ. Lê Thánh Tôn,Paradise Saigon Boutique Hotel & Spa is a 4-star hotel in Ho Chi Minh City. Rated 8.7/10 by 235 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Premium Twin Room City View' with 2 single beds. Clean pool|Great swimming pool,Clean pool|Great swimming pool,~₫1975000/night (approx. $79),https://ak-d.tripcdn.com/images/1mc0b12000bkal4vg7612_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.771523, 106.694935",Clean pool|Great swimming pool
,Sheraton Saigon Grand Opera Hotel,,4.7,"88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel located at 88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 476 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Guest Room, 1 King Bed' with 1 king bed. Delicious breakfast|Located downtown",Delicious breakfast|Located downtown,~₫4825000/night (approx. $193),https://ak-d.tripcdn.com/images/1mc3112000icibkvj724E_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775446, 106.703878",Delicious breakfast|Located downtown
,JW Marriott Hotel & Suites Saigon,,4.6,"Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon located at Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 199 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'Deluxe Guest Room, 2 Twin' with 2 single beds. Great location|Great stay!",Great location|Great stay!,~₫6625000/night (approx. $265),https://ak-d.tripcdn.com/images/0223312000h04end9BCB9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.780941, 106.700568",Great location|Great stay!
,Roseland Sweet Hotel,,4.6,04 Cao Ba Quat,Roseland Sweet Hotel located at 04 Cao Ba Quat,"Roseland Sweet Hotel is a 4-star hotel in Ho Chi Minh City. Rated 9.2/10 by 1,665 reviews. Guests praise its location near Near Saigon Japan Town | Le Thanh Ton. The most popular room is 'Deluxe Double Room' with 1 queen bed. Delicious breakfast|Great for business trips",Delicious breakfast|Great for business trips,~₫3025000/night (approx. $121),https://ak-d.tripcdn.com/images/1mc5z12000b6hqve6C1F9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77836, 106.70455",Delicious breakfast|Great for business trips
,Luxury Royal Landmark 81 & Vinhomes,,4.8,"720A Dien Bien Phu, Vinhomes Tan Cang","Luxury Royal Landmark 81 & Vinhomes located at 720A Dien Bien Phu, Vinhomes Tan Cang",Luxury Royal Landmark 81 & Vinhomes is a 4-star hotel in Ho Chi Minh City. Rated 9.5/10 by 42 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is '1 Bedroom Apartment' with 1 queen bed. ,,~₫1025000/night (approx. $41),https://ak-d.tripcdn.com/images/1mc5n12000ekikrtn4FB0_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795112, 106.722096",
,Pullman Saigon Centre,,4.5,148 Tran Hung Dao,Pullman Saigon Centre located at 148 Tran Hung Dao,Pullman Saigon Centre is a 5-star hotel in Ho Chi Minh City. Rated 9.0/10 by 588 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Superior King Room' with 1 king bed. Delicious breakfast|Great for business trips,Delicious breakfast|Great for business trips,~₫4350000/night (approx. $174),https://ak-d.tripcdn.com/images/1mc3t12000chqn98zBF09_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.764335, 106.691666",Delicious breakfast|Great for business trips
,Au Lac Charner Hotel,,4.4,"87-89-91 Đ. Hồ Tùng Mậu, Bến Nghé","Au Lac Charner Hotel located at 87-89-91 Đ. Hồ Tùng Mậu, Bến Nghé",Au Lac Charner Hotel is a 4-star hotel in Ho Chi Minh City. Rated 8.8/10 by 241 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Hamelin Executive Double Room' with 1 queen bed. Clean pool|Great swimming pool,Clean pool|Great swimming pool,~₫2475000/night (approx. $99),https://ak-d.tripcdn.com/images/22010w000000kr7dr586F_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.772125, 106.703525",Clean pool|Great swimming pool
,Your Homes River Gate Premium,,4.7,151 Đường Bến Vân Đồn,Your Homes River Gate Premium located at 151 Đường Bến Vân Đồn,Your Homes River Gate Premium is a 4-star hotel in Ho Chi Minh City. Rated 9.3/10 by 108 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Studio Superior' with 1 king bed. Great stay!|Great location,Great stay!|Great location,~₫900000/night (approx. $36),https://ak-d.tripcdn.com/images/0204812000c3sv39v2654_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.76198, 106.69936",Great stay!|Great location
,The Cozy Inn Hotel,,4.2,"51 Co Giang, Cau Ong Lanh Ward","The Cozy Inn Hotel located at 51 Co Giang, Cau Ong Lanh Ward",The Cozy Inn Hotel is a 2-star hotel in Ho Chi Minh City. Rated 8.5/10 by 61 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Family Suite' with 1 double bed and 3 single beds. Great service|Great rooms,Great service|Great rooms,~₫1150000/night (approx. $46),https://ak-d.tripcdn.com/images/1mc2e12000l1d2jkf9163_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.764058, 106.696219",Great service|Great rooms
,M Village Hotel Tao Dan Park,,4.5,14 Trương Định,M Village Hotel Tao Dan Park located at 14 Trương Định,M Village Hotel Tao Dan Park is a 4-star hotel in Ho Chi Minh City. Rated 9.1/10 by 679 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Superior Room' with 1 queen bed. Convenient location|Great for business trips,Convenient location|Great for business trips,~₫1600000/night (approx. $64),https://ak-d.tripcdn.com/images/1mc4w12000im3pzfa84B6_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.776686, 106.691239",Convenient location|Great for business trips
,A25 Hotel - 277 Le Thanh Ton,,4.5,277B Le Thanh Ton,A25 Hotel - 277 Le Thanh Ton located at 277B Le Thanh Ton,A25 Hotel - 277 Le Thanh Ton is a 3-star hotel in Ho Chi Minh City. Rated 9.0/10 by 122 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Superior Double' with 1 queen bed. Convenient location|Delicious breakfast,Convenient location|Delicious breakfast,~₫975000/night (approx. $39),https://ak-d.tripcdn.com/images/1mc5y12000essgg7o3574_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77167, 106.69558",Convenient location|Delicious breakfast
,A25 Hotel - Le Thi Hong Gam,,4.3,"55/29-31-33 Le Thi Hong Gam, Nguyen Thai Binh","A25 Hotel - Le Thi Hong Gam located at 55/29-31-33 Le Thi Hong Gam, Nguyen Thai Binh",A25 Hotel - Le Thi Hong Gam is a 3-star hotel in Ho Chi Minh City. Rated 8.7/10 by 170 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Superior Double' with 1 queen bed. Great stay!|Clean pool,Great stay!|Clean pool,~₫675000/night (approx. $27),https://ak-d.tripcdn.com/images/1mc2212000kjjistnDA77_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.768373, 106.698185",Great stay!|Clean pool
,InterContinental Grand Ho Tram,,4.7,"Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram located at Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram is a 5-star hotel in Phuoc Thuan. Rated 9.3/10 by 90 reviews. Guests praise its location near Near Ho Tram Beach, Phuoc Thuan. The most popular room is 'Classic King Room - Non-Smoking' with 1 king bed. Great stay!|Great service",Great stay!|Great service,~₫2475000/night (approx. $99),https://ak-d.tripcdn.com/images/0225b120009c6vqxq46A4_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.486559, 107.454275",Great stay!|Great service
,Akoya Central Saigon Hotel,,4.5,"88 Ly Tu Trong, Ben Thanh Ward","Akoya Central Saigon Hotel located at 88 Ly Tu Trong, Ben Thanh Ward",Akoya Central Saigon Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.9/10 by 253 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Superior King Room (No Window)' with 1 queen bed. Great value for money|Convenient for shopping,Great value for money|Convenient for shopping,~₫950000/night (approx. $38),https://ak-d.tripcdn.com/images/200o16000000yuhv1F776_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.774403, 106.697577",Great value for money|Convenient for shopping
,Collection O Eva Hotel District 8 Near Ben Thanh Market,,4.0,05 Duong Ba Trac street,Collection O Eva Hotel District 8 Near Ben Thanh Market located at 05 Duong Ba Trac street,Collection O Eva Hotel District 8 Near Ben Thanh Market is a 3-star hotel in Ho Chi Minh City. Rated 8.0/10 by 20 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Superior Double Room' with 1 double bed. ,,~₫275000/night (approx. $11),https://ak-d.tripcdn.com/images/1mc2v12000mcg7cksCAFD_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.750284, 106.688154",
,King Hotel Saigon Airport,,4.2,25/22 Cuu Long,King Hotel Saigon Airport located at 25/22 Cuu Long,King Hotel Saigon Airport is a 3-star hotel in Ho Chi Minh City. Rated 8.3/10 by 320 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Superior Double Room' with 1 queen bed. Great service|Easy to get around,Great service|Easy to get around,~₫350000/night (approx. $14),https://ak-d.tripcdn.com/images/1mc1912000nqrkodz8D1D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.81123, 106.66669",Great service|Easy to get around
